,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
589,PUNK1176,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,6869,47.5,2021-06-16,0x4e3c9b4556395ec55b93aa3abb6da6a2d645caae679cedd71bd1214b2bf52f85
590,PUNK118,0x18eE9CeBCA35D323068e5EDc5B41ffCA11d605B9,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,6783,64.95,2021-08-23,0xbda17cd5268124767a824e77ec7c3e86be5600c806f0e869dab1d880db2b3657
591,PUNK118,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,3185,54.1,2021-08-23,0x5280562a9efe4b13e08af1e63e63d8b1fbf049feeb1d47041c286fbd2ef27d75
592,PUNK1181,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,8292,64.14,2021-08-23,0x184c6811ccf9d766761f1b80775ceb66a9b3bb4b35fbc3809e1522c59c012a0c
593,PUNK1181,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,8292,84.0,2021-08-24,0xd635012e03b332cc53b1cdcd2d7afb651af996b60a721735a402fef02a332285
594,PUNK1184,0x4680cb63563472cac10236C07d288580D8d7B52A,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,9770,41.85,2021-08-05,0x63d2baaaa37bd967ca85815abf883f437ed3c6c5a0a51be7ec27af80a6d1e875
595,PUNK1184,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,0xA47b31690eCA4baDB02CA78B2f90A04AB1F7E9F6,8045,44.99,2021-07-30,0xf069b42a72c7e975557d155c411db58b21cf5ce22e60fe19f7767a43fd488a8f
598,PUNK1193,0xeb725FCEcce376a174675C87287BAC30d46FDBe8,0x0a4d540bB6a930f0FBb53F54f797B95f0eC16065,5875,14.79,2021-02-21,0xcff2d17700cadadd19c504dcc149a3ab37aa34a5bb556363a2f25ef274c83fa1
597,PUNK1193,0x0a4d540bB6a930f0FBb53F54f797B95f0eC16065,0x48c85cC4D0BeB4cC84F07A8262e2042553a6A4a6,5875,19.45,2021-02-21,0x7b95d0d7a660bcf5532ea1c71506f2ce037736f7fd6fd6085def0a0e37e6d8bd
596,PUNK1193,0x48c85cC4D0BeB4cC84F07A8262e2042553a6A4a6,0xeb725FCEcce376a174675C87287BAC30d46FDBe8,3589,39.95,2021-02-22,0x31f4b1d9687eb8f48c616310e426fdbe1439855a516fd9ca438233c1e6f966d9
599,PUNK12,0xCc81b4631c4b321421267c1D4B43e7b2d7c52A23,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a,2944,1.32,2020-09-14,0xc25b5e91c83566b2afc02dd92a482d6170216e5afd895a1f8aeec6e718afe21c
600,PUNK12,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a,0x442DCCEe68425828C106A3662014B4F131e3BD9b,6411,1.95,2020-09-16,0x116a8992f8d657430495ef9c21fe944ec5c1a6dc7476678e440fef1ed207a2dd
601,PUNK1206,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,0xb4Bb4156e5e6Ca5D81041f616c27dfFB253B7845,9891,29.49,2021-07-31,0x3aad961bd6bd8e3ae082a005e38dc6ba1fda11e721b6c4e485d251f4f9edd3b6
602,PUNK1206,0x50664edE715e131F584D3E7EaAbd7818Bb20A068,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,6936,49.49,2021-08-06,0xa6be4e41d2ed0885f1c05d17aaa8a681d6a3dbf79d17b2e2dee5b0de65fc0305
603,PUNK1206,0xb4Bb4156e5e6Ca5D81041f616c27dfFB253B7845,0x50664edE715e131F584D3E7EaAbd7818Bb20A068,6674,99.99,2021-08-01,0xbfa5fc936c5056942737c9070d4729f530ec43128c7fe601690f1776432acb0d
604,PUNK1211,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,0xA99A76dDdBB9678bc33F39919Bc76d279C680C89,3854,119.98,2021-08-28,0x097c133be7b704caf8cb6465c7cb607e469da32a4efd2642232d90bfb184a9e9
605,PUNK1211,0xA99A76dDdBB9678bc33F39919Bc76d279C680C89,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,3387,99.88,2021-08-27,0x7e1efb4d4db42a14247b8b0385d5f450e08234e7aba5e752aade06e1687b144a
607,PUNK1214,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,3854,57.78,2021-08-06,0x47fb09fbb067326cb0a5f304fed6c48ed64feab582447d98e1f3c55c909056d7
606,PUNK1214,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,6778,70.0,2021-08-10,0xf33237e2aa6b936d7cb6ae819523d12c6a1b7209ac16f4ccfa3576faf318d5ff
608,PUNK122,0xDDFdcB21c935e8432A559cF689c83695b27A4177,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,7045,29.99,2021-04-08,0x86f5cbd83d73355a9870013a9f0857994b583e33bebc008a986c7b6989409a77
609,PUNK122,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,0xDDFdcB21c935e8432A559cF689c83695b27A4177,1791,22.99,2021-04-09,0x8ee9268b23a3c990469866942f179715580728b1aaabf2dbd614a2f0a809c92f
610,PUNK1221,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,0xBF8AfA76BcC2f7Fee2F3b358571F426a698E5edD,7919,27.49,2021-04-13,0xc68ef9b360b172b4da360779a644f988b3b89680c1c982698c0a1c8dca54b7b3
611,PUNK1221,0xBF8AfA76BcC2f7Fee2F3b358571F426a698E5edD,0xeD98464BDA3cE53a95B50f897556bEDE4316361c,7919,25.0,2021-04-19,0x1d2c2c791deed235e765e7d9f642c3708c0ed763230bd2d2917c954510b20b6b
612,PUNK1229,0xE614065a4Ac6d478F141Db4595325b537ffA2EA5,0xf1B65881041243cB07b9A2067014350239aF4116,6649,45.0,2021-01-18,0xc027e037c0fbcb800f434b978a168bb9c116ce31df4cc95a6826079c07d94949
613,PUNK1229,0xf1B65881041243cB07b9A2067014350239aF4116,0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,8562,37.0,2021-01-24,0xeb129c73fd2411aa2783b958adb7bcc3f62c0ed9b8c800e486c050f606ab9427
615,PUNK1230,0xE614065a4Ac6d478F141Db4595325b537ffA2EA5,0xf1B65881041243cB07b9A2067014350239aF4116,3831,60.0,2021-01-18,0x69a4225be2c45d44c203e9b67cd1946058ba10dc16de0219352556a6893920b7
